"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"25876","tt0120122","Shooting Fish","1997","109","Comedy,Crime,Romance",6.6,7113,27.5
"25878","tt0120125","The Barber of Siberia","1998","180","Comedy,Drama,History",7.8,10713,55.3333333333333
"25881","tt0120126","Sick: The Life & Death of Bob Flanagan, Supermasochist","1997","90","Documentary",7.6,1468,45
"25882","tt0120133","A Simple Wish","1997","89","Comedy,Family,Fantasy",5.4,4845,45
"25884","tt0120142","The Sixth Man","1997","107","Comedy,Drama,Fantasy",5.7,5087,33.3333333333333
"25887","tt0120148","Sliding Doors","1998","99","Comedy,Drama,Fantasy",6.7,59282,36.5
"25889","tt0120151","A Smile Like Yours","1997","98","Comedy,Romance",4.9,1300,41.5
"25891","tt0120157","Soldier","1998","99","Action,Drama,Sci-Fi",6,48979,38
"25894","tt0120169","Soul Food","1997","115","Comedy,Drama",7,6295,34
"25895","tt0120176","The Spanish Prisoner","1997","110","Drama,Mystery,Thriller",7.3,20535,51.5
"25899","tt0120177","Spawn","1997","96","Action,Horror",5.2,60033,40
"25902","tt0120179","Speed 2: Cruise Control","1997","121","Action,Adventure,Crime",3.8,69585,36.6666666666667
"25905","tt0120184","Sphere","1998","134","Drama,Horror,Mystery",6.1,93406,56
"25908","tt0120186","Body Count","1998","85","Crime,Drama,Thriller",5.5,1703,38.3333333333333
"25911","tt0120188","Three Kings","1999","114","Action,Adventure,Comedy",7.1,152579,31.5
"25915","tt0120199","Space Truckers","1996","95","Adventure,Comedy,Sci-Fi",5.2,6133,49
"25917","tt0120201","Starship Troopers","1997","129","Action,Adventure,Sci-Fi",7.2,250996,27.5
"25919","tt0120202","State and Main","2000","105","Comedy,Drama",6.8,19535,54.3333333333333
"25922","tt0120207","Steel","1997","97","Action,Adventure,Crime",2.8,10036,39.3333333333333
"25925","tt0120211","Still Breathing","1997","109","Comedy,Drama,Fantasy",6.9,2179,46.5
"25927","tt0120214","Danes Without a Clue","1997","79","Comedy",2.1,2413,30
"25930","tt0120238","SubUrbia","1996","121","Comedy,Drama",6.8,8253,24
"25933","tt0120241","Suicide Kings","1997","106","Comedy,Crime,Drama",7,24524,42
"25936","tt0120253","Svensson Svensson - Filmen","1997","81","Comedy",5.4,1153,30
"25938","tt0120255","The Sweet Hereafter","1997","112","Drama",7.6,30054,54
"25940","tt0120257","Swept from the Sea","1997","115","Drama,Mystery,Romance",6.9,2915,45.5
"25942","tt0120263","Songs from the Second Floor","2000","98","Comedy,Drama",7.7,15683,50.3333333333333
"25945","tt0120265","Taste of Cherry","1997","95","Drama",7.7,19038,50
"25946","tt0120274","Tango","1998","115","Drama,Musical",7.1,2664,57.5
"25948","tt0120303","Telling Lies in America","1997","101","Drama,Music",6.3,2013,40.3333333333333
"25951","tt0120317","That Darn Cat","1997","89","Action,Comedy,Crime",4.6,3722,48.3333333333333
"25954","tt0120318","That Old Feeling","1997","105","Comedy,Romance",6.2,3287,53
"25955","tt0120321","Smoke Signals","1998","89","Comedy,Drama",7.2,9095,34.3333333333333
"25958","tt0120323","A Thousand Acres","1997","105","Drama",6,4811,75
"25959","tt0120324","A Simple Plan","1998","121","Crime,Drama,Thriller",7.5,58200,41
"25962","tt0120329","Tic Tac","1997","96","Drama,Thriller",6.8,1377,31.5
